Airport ID,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ database timezone,Type,Source
Mulu Airport,Mulu,Malaysia,MZV,WBMU,4.048329830169678,114.80500030517578,80,8,N,Asia/Kuala_Lumpur,airport,OurAirports
Sharm El Sheikh International Airport,Sharm El Sheikh,Egypt,SSH,HESH,27.9773006439,34.3950004578,143,2,N,Africa/Cairo,airport,OurAirports
Venango Regional Airport,Franklin,United States,FKL,KFKL,41.3778991699,-79.8603973389,1540,-5,A,America/New_York,airport,OurAirports
Jomo Kenyatta International Airport,Nairobi,Kenya,NBO,HKJK,-1.31923997402,36.9277992249,5330,3,N,Africa/Nairobi,airport,OurAirports
Seronera Airport,Seronera,Tanzania,SEU,HTSN,-2.45806,34.822498,5080,3,U,Africa/Dar_es_Salaam,airport,OurAirports
El Calafate Airport,El Calafate,Argentina,FTE,SAWC,-50.2803,-72.053101,669,-3,N,America/Argentina/Rio_Gallegos,airport,OurAirports
Armidale Airport,Armidale,Australia,ARM,YARM,-30.5280990601,151.617004395,3556,10,O,Australia/Sydney,airport,OurAirports
Grand Junction Regional Airport,Grand Junction,United States,GJT,KGJT,39.1223983765,-108.527000427,4858,-7,A,America/Denver,airport,OurAirports
St George Municipal Airport,Saint George,United States,SGU,KSGU,37.036389,-113.510306,2941,-7,A,America/Denver,airport,OurAirports
David Wayne Hooks Memorial Airport,Houston,United States,DWH,KDWH,30.0618000031,-95.5528030396,152,-6,A,America/Chicago,airport,OurAirports
Sarasota Bradenton International Airport,Sarasota,United States,SRQ,KSRQ,27.39539909362793,-82.55439758300781,30,-5,A,America/New_York,airport,OurAirports
L.F. Wade International International Airport,Bermuda,Bermuda,BDA,TXKF,32.36399841308594,-64.67870330810547,12,-4,A,Atlantic/Bermuda,airport,OurAirports
Van Nuys Airport,Van Nuys,United States,VNY,KVNY,34.209800720215,-118.48999786377,802,-8,A,America/Los_Angeles,airport,OurAirports
Quad City International Airport,Moline,United States,MLI,KMLI,41.44850158691406,-90.50749969482422,590,-6,A,America/Chicago,airport,OurAirports
Panama City-Bay Co International Airport,Panama City,United States,PFN,KPFN,30.212099,-85.6828,20,-6,A,America/Chicago,airport,OurAirports
Honiara International Airport,Honiara,Solomon Islands,HIR,AGGH,-9.4280004501343,160.05499267578,28,11,U,Pacific/Guadalcanal,airport,OurAirports
Faa'a International Airport,Papeete,French Polynesia,PPT,NTAA,-17.553699,-149.606995,5,-10,U,Pacific/Tahiti,airport,OurAirports
Nauru International Airport,Nauru,Nauru,INU,ANYN,-0.547458,166.919006,22,12,U,Pacific/Nauru,airport,OurAirports
Funafuti International Airport,Funafuti,Tuvalu,FUN,NGFU,-8.525,179.195999,9,12,U,Pacific/Funafuti,airport,OurAirports
Tolmachevo Airport,Novosibirsk,Russia,OVB,UNNT,55.012599945068,82.650703430176,365,7,N,Asia/Krasnoyarsk,airport,OurAirports
Xieng Khouang Airport,Phon Savan,Laos,XKH,VLXK,19.450001,103.157997,3445,7,U,Asia/Vientiane,airport,OurAirports
Bismarck Municipal Airport,Bismarck,United States,BIS,KBIS,46.77270126342773,-100.74600219726562,1661,-6,A,America/Chicago,airport,OurAirports
Telluride Regional Airport,Telluride,United States,TEX,KTEX,37.9538002,-107.9079971,9070,-7,A,America/Denver,airport,OurAirports
Mae Hong Son Airport,Mae Hong Son,Thailand,HGN,VTCH,19.301300048828125,97.97579956054688,929,7,U,Asia/Bangkok,airport,OurAirports
Rapid City Regional Airport,Rapid City,United States,RAP,KRAP,44.0452995300293,-103.05699920654295,3204,-7,A,America/Denver,airport,OurAirports
Mc Clellan-Palomar Airport,Carlsbad,United States,CLD,KCRQ,33.12829971,-117.2799988,331,-8,A,America/Los_Angeles,airport,OurAirports
Bishop International Airport,Flint,United States,FNT,KFNT,42.96540069580078,-83.74359893798828,782,-5,A,America/New_York,airport,OurAirports
